,predicted_value,ground_truth
0,10.200582,9.25
1,12.608041,16.13
2,11.384447,13.78
3,14.997683,7.0
4,11.673239,14.9
5,10.718056,13.1
6,11.700918,11.09
7,12.8366375,19.2
8,11.667296,10.5
9,9.986283,13.8
10,17.702797,19.66
11,12.992017,12.08
12,14.4824705,11.92
13,12.216752,13.6
14,14.315349,14.2
15,15.050537,15.7
16,13.885666,16.05
17,14.073926,14.8
18,10.534192,10.0
19,11.510132,9.21
20,10.825128,13.88
21,11.58109,12.33
22,13.982379,17.4
23,12.967865,15.35
24,11.129079,10.8
25,12.836978,14.5
26,12.9532385,12.73
27,13.020395,10.76
28,13.7091,9.73
29,11.71019,9.7201
30,13.944541,16.9
31,14.740602,14.1
32,10.659971,12.9
33,10.931974,11.56
34,13.624278,14.37
35,17.119926,17.3
36,10.950364,12.92
37,11.288513,8.9
38,13.632867,18.0
39,10.141222,8.39
40,11.178483,11.9
41,15.217214,15.6
