,predicted_value,ground_truth
0,48.58209,41.0
1,36.61647,47.0
2,25.605255,26.0
3,40.769245,37.0
4,40.354767,43.0
5,63.357853,64.0
6,73.89154,83.0
7,65.003296,67.0
8,57.188667,51.0
9,72.89092,73.0
10,75.09665,75.0
11,81.66582,80.0
12,44.79131,49.0
13,73.59719,87.0
14,46.505188,45.0
15,66.28525,65.0
16,58.82245,52.0
17,55.352894,58.0
18,46.999817,37.0
19,23.303055,22.0
20,49.627872,60.0
21,40.007187,40.0
22,45.86211,56.0
23,78.08295,70.0
24,36.727436,35.0
25,61.51226,59.0
26,72.775696,76.0
27,63.353203,59.0
28,60.62113,69.0
29,31.932213,32.0
30,43.987164,31.0
31,78.187065,71.0
32,45.60081,37.0
33,81.25285,79.0
34,28.41852,34.0
35,75.42334,71.0
36,24.913898,28.0
37,33.23662,30.0
38,40.39791,45.0
39,22.471792,26.0
40,38.878185,31.0
41,68.77139,62.0
42,76.85802,87.0
43,21.702803,19.0
44,84.67148,83.0
45,24.857847,23.0
46,46.64399,44.0
47,77.056,79.0
48,79.67687,68.0
49,46.64469,52.0
50,77.17021,83.0
51,76.759346,72.0
52,62.241364,65.0
53,53.204666,55.0
54,61.767647,58.0
55,48.72658,47.0
56,58.46372,55.0
57,42.727604,28.0
58,47.35984,47.0
59,42.267105,39.0
60,34.173733,39.0
61,54.443665,54.0
62,78.58745,76.0
63,81.51813,79.0
64,55.992825,63.0
65,80.69584,77.0
